,true_lengths,gen_lengths
103,7.4412,7.4128
104,7.4412,7.4128
105,4.0138,3.9718
106,5.3439,5.4252
107,8.2399,8.412
108,7.3263,7.3045
109,7.3263,7.3045
110,7.3263,7.3045
111,4.6176,4.5371
112,4.6176,4.5371
113,3.9338,3.9965
114,3.9447,3.9162
115,3.9447,3.9162
116,7.4564,7.466
117,3.2979,3.3344
118,4.5086,4.5067
119,8.8446,8.7708
120,6.3936,6.3935
121,6.3936,6.3935
122,6.3936,6.3935
123,3.6626,3.6898
124,3.6626,3.6898
125,31.4162,31.3613
126,3.7719,3.8366
127,6.2209,6.2384
128,7.7155,7.7673
129,7.1569,7.1765
130,7.1569,7.1765
131,7.1569,7.1765
132,7.0354,7.0223
133,7.0354,7.0223
134,7.0354,7.0223
135,2.6616,2.6717
136,4.1874,4.1853
137,4.6418,4.6514
138,2.9139,2.8806
139,2.9139,2.8806
140,6.6075,6.7469
141,9.9072,10.0525
142,9.9072,10.0525
143,5.1327,5.0049
144,6.968,7.0267
145,6.968,7.0267
146,6.968,7.0267
147,10.4756,10.6692
148,3.2351,3.2977
149,6.9466,6.851
150,6.5681,6.5302
151,6.5681,6.5302
152,6.5681,6.5302
153,4.1337,4.1642
154,4.1337,4.1642
155,8.5731,8.491
156,7.6316,7.7438
157,7.6316,7.7438
158,7.6316,7.7438
159,5.0836,5.0477
160,5.0836,5.0477
161,24.2046,24.1698
162,3.2023,3.2634
163,5.5412,5.6191
164,6.7444,7.0543
165,4.8909,4.9938
166,5.3894,5.4505
167,7.4853,7.2448
168,4.4151,4.432
169,4.4151,4.432
170,7.9032,7.7413
171,7.196,7.261
172,7.196,7.261
173,7.196,7.261
174,6.3747,6.3833
175,6.3747,6.3833
176,6.3747,6.3833
177,4.8806,4.8538
178,4.8806,4.8538
179,3.855,4.0067
180,4.2623,4.3592
181,4.4551,4.474
182,4.5827,4.5327
183,3.6958,3.6974
184,3.6958,3.6974
185,2.6425,2.7043
186,4.2805,4.1594
187,4.2805,4.1594
188,20.5531,21.8892
189,7.5006,7.4996
190,7.5006,7.4996
191,7.5006,7.4996
192,6.6212,6.4554
193,7.9319,8.2297
194,3.7242,3.6762
195,4.0176,4.213
196,4.7246,4.5383
197,5.0334,5.1063
198,5.8096,5.7503
199,5.8096,5.7503
200,5.8096,5.7503
201,4.0563,4.0451
202,4.0563,4.0451
203,9.9593,9.9913
204,5.8728,5.8792
205,5.8728,5.8792
206,5.8728,5.8792
207,4.0767,4.0639
208,4.0767,4.0639
209,9.1593,9.202
210,4.9676,5.0336
211,4.9676,5.0336
212,3.8797,3.9043
213,5.3194,5.499
214,5.6277,5.7555
215,4.3863,4.5892
216,6.4237,6.4105
217,6.4237,6.4105
218,6.4237,6.4105
219,3.9521,3.9263
220,3.9521,3.9263
221,8.4714,8.61
222,4.7549,4.7671
223,8.2648,8.3568
224,4.5614,4.6116
225,3.1431,3.0853
226,4.3591,4.6304
227,5.7741,5.6058
228,3.9047,3.9205
229,3.9047,3.9205
230,8.2815,8.1398
231,3.1501,3.1204
232,3.5007,3.1563
233,7.8661,9.3526
234,9.6861,9.6116
235,7.8973,7.5555
236,9.7777,9.9621
237,6.02,6.0058
238,6.02,6.0058
239,6.02,6.0058
240,2.7051,2.7271
241,4.2047,4.1262
242,8.5528,8.6818
243,3.4087,3.3864
244,3.4087,3.3864
245,12.09,12.375
246,7.5203,7.4958
247,7.5203,7.4958
248,7.5203,7.4958
249,9.5733,9.5634
250,9.5733,9.5634
251,9.5733,9.5634
252,11.6417,11.6489
253,3.6488,3.3009
254,6.325,6.7216
255,4.4617,4.6269
256,4.4617,4.6269
257,8.9103,8.2344
258,4.4641,4.7951
259,4.4641,4.7951
260,4.0905,3.641
261,4.5482,4.5999
262,4.5482,4.5999
263,6.1389,5.9973
264,5.4417,5.464
265,9.0198,9.1137
266,2.9086,2.9016
267,6.8377,6.8393
268,6.8377,6.8393
269,6.8377,6.8393
270,6.7691,6.7881
271,6.7691,6.7881
272,6.7691,6.7881
273,4.4234,4.7212
274,4.6496,5.0032
275,7.5879,6.4128
276,6.4954,6.5028
277,6.4954,6.5028
278,6.4954,6.5028
279,6.7746,6.8011
280,6.7746,6.8011
281,6.7746,6.8011
282,8.6671,8.7856
283,8.6671,8.7856
284,3.792,3.8077
285,4.9797,4.9809
286,4.9797,4.9809
287,3.8586,3.8822
288,3.9753,3.9371
289,3.9753,3.9371
290,9.2894,9.4482
291,11.8903,11.9966
292,11.8903,11.9966
293,11.8903,11.9966
294,4.5043,4.4
295,6.0794,4.6205
296,4.3109,6.1918
297,2.8968,2.9399
298,4.1202,4.116
299,8.0746,7.9721
300,5.6063,5.8043
301,7.1353,7.1571
302,3.189,3.0872
303,3.4298,3.4203
304,3.4298,3.4203
305,15.7297,15.9246
306,3.3329,3.3315
307,3.3329,3.3315
308,8.4428,8.5319
309,7.0469,7.0705
310,7.0469,7.0705
311,7.0469,7.0705
312,3.8355,3.8219
313,3.8355,3.8219
314,8.2787,8.378
315,6.6485,6.6762
316,6.6485,6.6762
317,6.6485,6.6762
318,7.9945,8.1097
319,7.9945,8.1097
320,7.9945,8.1097
321,3.1369,3.0553
322,5.4725,5.6212
323,6.1511,6.0363
324,3.1396,3.1549
325,3.1396,3.1549
326,32.4677,32.4712
327,6.4854,6.4809
328,6.4854,6.4809
329,6.4854,6.4809
330,7.0674,7.0499
331,9.9896,9.9409
332,9.9926,9.9567
333,7.7803,7.8153
334,7.7803,7.8153
335,7.7803,7.8153
336,8.8025,8.9435
337,2.8524,2.7835
338,4.4599,4.4504
339,4.8003,4.4647
340,4.8003,4.4647
341,7.5939,8.9944
342,4.15,4.1689
343,13.4767,13.41
344,7.7698,7.7884
345,6.9139,6.9629
346,6.9139,6.9629
347,2.4327,2.4025
348,2.8067,2.8016
349,2.8067,2.8016
350,27.7836,27.7273
351,3.2425,3.3086
352,3.2425,3.3086
353,8.2681,8.0142
354,7.2218,7.2085
355,7.2218,7.2085
356,7.2218,7.2085
357,3.5939,3.4364
358,5.3008,5.3749
359,10.2792,10.572
360,3.3892,2.9601
361,5.5273,5.9496
362,5.5168,5.8653
363,3.8644,4.1512
364,3.8644,4.1512
365,6.2254,5.272
366,6.0326,5.9932
367,6.0326,5.9932
368,6.0326,5.9932
369,3.3585,3.2783
370,4.8979,4.8457
371,9.0637,9.3014
372,3.4284,3.4762
373,3.4284,3.4762
374,13.8246,13.3374
375,6.7984,6.7691
376,6.7984,6.7691
377,6.7984,6.7691
378,3.2768,3.2916
379,4.7513,4.8294
380,9.8228,9.8183
381,6.737,6.7779
382,6.737,6.7779
383,6.737,6.7779
384,7.3911,7.4312
385,7.3911,7.4312
386,7.3911,7.4312
387,8.4404,8.4414
388,8.4404,8.4414
389,8.4404,8.4414
390,3.0959,3.1532
391,3.2479,3.2025
392,7.9739,8.1599
393,7.2414,7.3854
394,7.2414,7.3854
395,7.2414,7.3854
396,2.7604,2.7602
397,2.7604,2.7602
398,27.2624,27.2926
399,4.1546,4.1255
400,4.1546,4.1255
401,10.1487,10.2308
402,6.9519,6.9334
403,7.0208,6.9146
404,12.1144,12.0773
405,7.2784,7.257
406,7.2784,7.257
407,7.2784,7.257
408,3.4009,3.4159
409,3.4009,3.4159
410,15.2754,15.2252
411,4.4846,4.6173
412,4.4846,4.6173
413,11.3342,11.5361
414,8.1444,8.2186
415,8.1444,8.2186
416,8.1444,8.2186
417,12.1942,12.1511
418,12.1942,12.1511
419,12.1942,12.1511
420,4.2298,4.1577
421,4.2298,4.1577
422,11.6322,12.5606
423,3.1739,3.2373
424,4.7652,4.758
425,9.7906,9.3965
426,4.2652,4.3057
427,4.2652,4.3057
428,8.5714,8.3183
429,3.3567,3.4077
430,3.3567,3.4077
431,8.5,8.5272
432,8.7875,8.9414
433,2.721,2.7359
434,4.5459,4.5915
435,5.4293,5.2934
436,5.4293,5.2934
437,8.5966,9.0579
438,6.9967,7.0335
439,6.9967,7.0335
440,6.9967,7.0335
441,7.1311,7.2125
442,7.1311,7.2125
443,7.1311,7.2125
444,7.3123,7.3318
445,7.3123,7.3318
446,7.3123,7.3318
447,7.4159,7.266
448,7.4159,7.266
449,7.4159,7.266
450,9.3235,9.3075
451,9.3235,9.3075
452,9.3235,9.3075
453,2.7977,2.9455
454,5.3522,5.2909
455,9.5378,9.9977
456,3.3544,3.032
457,3.7922,3.9389
458,3.8208,4.111
459,3.2506,3.2149
460,4.1233,4.1662
461,4.4735,4.4701
462,3.2217,3.245
463,3.2217,3.245
464,6.8556,6.8268
465,6.2101,6.1286
466,10.0683,9.9232
467,3.1015,3.1186
468,3.3031,3.2845
469,3.3031,3.2845
470,11.3567,11.5362
471,7.6887,7.6923
472,7.6887,7.6923
473,7.6887,7.6923
474,3.1095,3.1088
475,3.1095,3.1088
476,6.0456,6.1042
477,6.3656,6.4031
478,6.3656,6.4031
479,6.3656,6.4031
480,7.9157,5.704
481,5.5263,5.7183
482,5.7505,9.7775
483,6.639,6.6488
484,6.639,6.6488
485,6.639,6.6488
486,6.3082,6.3019
487,6.3082,6.3019
488,6.3082,6.3019
489,11.4006,11.5069
490,3.4887,3.5214
491,4.9839,4.9977
492,2.7496,2.6806
493,4.4738,4.5049
494,8.9288,9.097
495,3.9712,4.0039
496,3.9712,4.0039
497,3.9712,4.0039
498,3.1282,3.1138
499,4.4518,4.3768
500,4.5147,4.6072
501,8.3895,8.3715
502,3.3026,3.0294
503,6.5814,6.8012
504,2.8454,2.7844
505,4.7474,4.7495
506,5.1174,5.2048
507,4.0612,4.0559
508,4.0612,4.0559
509,9.8922,9.9969
510,3.8499,3.7618
511,3.8499,3.7618
512,3.6316,3.7243
513,7.0115,7.0043
514,7.0115,7.0043
515,7.0115,7.0043
516,7.2748,7.2836
517,7.2748,7.2836
518,7.2748,7.2836
519,3.4895,3.6248
520,5.3856,5.1469
521,10.2366,10.6854
522,4.3398,4.3639
523,4.3398,4.3639
524,9.1611,9.1542
525,6.9718,6.9865
526,6.9718,6.9865
527,6.9718,6.9865
528,6.1693,6.1862
529,6.1693,6.1862
530,10.2422,10.5102
531,6.5869,6.6082
532,6.5869,6.6082
533,6.5869,6.6082
534,6.8451,6.8394
535,6.8451,6.8394
536,6.8451,6.8394
537,8.016,7.7626
538,9.1598,9.0105
539,13.8467,14.295
540,5.8597,6.0719
541,5.8597,6.0719
542,5.8597,6.0719
543,7.0087,7.2717
544,7.0087,7.2717
545,7.0087,7.2717
546,5.0276,5.3416
547,5.0276,5.3416
548,5.0276,5.3416
549,9.636,9.718
550,3.058,3.0738
551,4.6912,4.6586
552,7.6128,7.6205
553,7.6128,7.6205
554,9.8502,10.3673
555,6.2708,6.3043
556,8.1437,8.2788
557,3.3135,3.2485
558,7.178,7.1909
559,7.178,7.1909
560,7.178,7.1909
561,6.1439,6.2176
562,6.1439,6.2176
563,6.1439,6.2176
564,6.5345,6.5602
565,6.5345,6.5602
566,6.5345,6.5602
567,3.5403,3.5877
568,3.5403,3.5877
569,6.1183,5.9956
570,7.621,7.6328
571,7.621,7.6328
572,7.621,7.6328
573,6.6784,6.6586
574,6.6784,6.6586
575,6.6784,6.6586
576,2.9159,2.9008
577,5.0349,4.9942
578,12.5289,12.3795
579,6.813,6.8137
580,6.813,6.8137
581,6.813,6.8137
582,7.6513,7.6454
583,7.6513,7.6454
584,7.6513,7.6454
585,4.2883,4.488
586,4.54,4.7122
587,9.8073,9.2421
588,3.6229,3.6292
589,3.6229,3.6292
590,36.7744,32.3678
591,6.0367,5.9945
592,6.0367,5.9945
593,6.0367,5.9945
594,3.6109,3.5754
595,3.6109,3.5754
596,10.582,10.743
597,3.3911,3.4362
598,3.3911,3.4362
599,34.0638,34.1464
600,2.8254,2.8122
601,4.6106,4.6144
602,9.0446,9.0686
603,6.5467,6.5143
604,6.5467,6.5143
605,6.5467,6.5143
606,5.3758,5.4042
607,5.3758,5.4042
608,7.494,7.6953
609,2.9851,2.9765
610,2.9851,2.9765
611,7.7211,7.7061
612,3.9348,3.8943
613,3.9348,3.8943
614,17.5915,18.985
615,10.9595,10.9683
616,3.2036,3.2655
617,6.8668,6.7044
618,7.5435,7.6114
619,7.5435,7.6114
620,7.5435,7.6114
621,4.873,4.9782
622,3.2934,3.2728
623,12.8703,12.188
624,7.5153,7.5051
625,3.6039,3.6034
626,10.611,10.7599
627,3.39,3.2601
628,3.39,3.2601
629,6.2328,7.2596
630,10.1396,10.3656
631,3.25,3.218
632,5.4083,5.3587
633,3.1356,3.1959
634,4.4599,4.4379
635,12.8503,12.8926
636,4.6454,4.6549
637,4.6454,4.6549
638,3.2885,3.2746
639,4.1468,4.3031
640,4.1468,4.3031
641,4.4392,3.9524
642,7.8645,7.8687
643,7.8645,7.8687
644,7.8645,7.8687
645,4.4392,4.455
646,4.4392,4.455
647,4.5067,4.4325
648,6.2739,6.2362
649,6.2739,6.2362
650,6.2739,6.2362
651,2.8919,3.0253
652,2.8919,3.0253
653,7.9896,7.8279
654,3.1687,3.1813
655,3.1687,3.1813
656,5.9014,5.8666
657,7.089,7.1933
658,7.089,7.1933
659,7.089,7.1933
660,9.4612,9.5098
661,3.0762,3.0
662,5.103,5.152
663,6.4776,6.572
664,6.4776,6.572
665,6.4776,6.572
666,6.6111,6.6274
667,6.6111,6.6274
668,6.6111,6.6274
669,9.5058,9.4032
670,2.957,2.9732
671,4.3661,4.4022
672,7.4093,7.3742
673,7.4093,7.3742
674,4.339,4.4513
675,3.95,3.8896
676,4.6774,4.7978
677,10.5541,10.7428
678,4.8101,4.8071
679,4.8101,4.8071
680,3.8888,3.9312
681,5.3184,5.7732
682,5.7377,5.9528
683,11.4029,12.1697
684,3.4318,3.3387
685,4.4355,4.6772
686,5.6793,5.6186
687,7.4673,7.3484
688,7.4673,7.3484
689,7.4673,7.3484
690,3.8817,3.8508
691,3.8817,3.8508
692,7.7635,7.9109
693,3.0129,2.9857
694,4.1814,4.3401
695,5.6639,5.5176
696,3.0228,3.4625
697,4.0951,3.5809
698,5.9437,5.8354
699,6.6717,6.7321
700,6.6717,6.7321
701,6.6717,6.7321
702,4.25,4.2352
703,4.25,4.2352
704,2.9987,3.0804
705,4.8757,4.8852
706,4.8757,4.8852
707,3.5921,3.587
708,2.8369,2.7898
709,2.8369,2.7898
710,22.2554,22.3612
711,6.9599,6.6853
712,6.9599,6.6853
713,6.9599,6.6853
714,6.0794,6.0778
715,6.0794,6.0778
716,6.0794,6.0778
717,5.7806,5.753
718,5.7806,5.753
719,5.7806,5.753
720,2.6516,2.7062
721,5.071,4.9871
722,10.8091,10.8127
723,9.8418,10.0721
724,3.1788,3.1777
725,6.974,6.7491
726,3.1151,3.1525
727,4.4456,4.3102
728,6.367,6.4473
729,3.2866,3.0929
730,4.8522,4.9641
731,5.5592,5.736
732,8.6135,8.9662
733,8.6135,8.9662
734,8.6135,8.9662
735,6.8471,6.8467
736,6.8471,6.8467
737,6.8471,6.8467
738,4.6465,4.8265
739,4.6465,4.8265
740,5.588,5.2176
741,3.312,3.3037
742,3.312,3.3037
743,27.58,27.1734
744,5.5421,5.5397
745,7.5356,7.5833
746,5.2444,5.259
747,6.7964,6.819
748,6.7964,6.819
749,6.7964,6.819
750,5.9949,5.9033
751,5.9949,5.9033
752,5.9949,5.9033
753,4.2296,4.2737
754,4.2296,4.2737
755,17.0529,16.1902
756,7.4787,7.4469
757,7.4787,7.4469
758,7.4787,7.4469
759,9.3608,9.4811
760,2.708,2.6923
761,5.4205,5.4287
762,3.9125,3.9426
763,3.9125,3.9426
764,5.4999,5.5463
765,4.2576,4.0003
766,4.2576,4.0003
767,18.9258,20.1974
768,4.0393,4.0438
769,4.0393,4.0438
770,9.982,9.9057
771,3.9534,3.8874
772,3.9534,3.8874
773,4.7265,4.8024
774,5.9649,5.9418
775,5.9649,5.9418
776,5.9649,5.9418
777,3.5977,3.4591
778,3.5977,3.4591
779,15.791,17.0362
780,7.02,7.0603
781,7.02,7.0603
782,7.02,7.0603
783,5.9801,5.9771
784,5.9801,5.9771
785,5.9801,5.9771
786,10.3244,10.4445
787,4.1685,4.1825
788,9.8162,9.9301
789,7.5376,7.5167
790,7.5376,7.5167
791,7.5376,7.5167
792,4.2272,4.2241
793,4.2272,4.2241
794,10.5978,10.6167
795,4.4259,4.4838
796,4.4259,4.4838
797,5.3675,5.1066
798,6.7023,6.6963
799,6.7023,6.6963
800,6.7023,6.6963
801,3.9603,3.9002
802,4.0621,4.0485
803,4.1979,4.3178
804,2.7457,2.7311
805,2.7457,2.7311
806,26.2831,26.1339
807,6.5476,6.5664
808,6.5476,6.5664
809,6.5476,6.5664
810,7.6882,7.4782
811,10.4772,10.6122
812,10.4471,10.6219
813,3.3175,3.3659
814,3.3175,3.3659
815,5.2452,5.3053
816,3.3677,3.1258
817,3.6572,4.3647
818,7.4379,6.89
819,8.4455,8.3675
820,3.0438,3.0127
821,4.4713,4.5597
822,7.922,7.8867
823,7.922,7.8867
824,7.922,7.8867
825,6.8329,6.7903
826,4.0209,4.0718
827,9.6729,9.7095
828,10.6402,10.6486
829,3.945,3.9412
830,6.9827,7.0046
831,6.3119,6.2814
832,7.631,7.6535
833,4.995,5.006
834,7.1094,7.176
835,7.1094,7.176
836,7.1094,7.176
837,7.3009,7.3028
838,7.3009,7.3028
839,7.3009,7.3028
840,3.6517,3.6814
841,3.6517,3.6814
842,21.6083,21.5266
843,4.748,4.6509
844,4.748,4.6509
845,10.7007,11.607
846,6.8418,6.8854
847,6.8418,6.8854
848,6.8418,6.8854
849,6.1947,6.2214
850,6.1947,6.2214
851,6.1947,6.2214
852,6.207,6.1944
853,6.207,6.1944
854,6.207,6.1944
855,6.975,6.9946
856,6.975,6.9946
857,6.975,6.9946
858,3.8053,3.9546
859,5.7049,5.5554
860,5.7359,5.7259
861,6.3518,6.3741
862,6.3518,6.3741
863,6.3518,6.3741
864,2.5511,2.5652
865,4.2169,4.2266
866,4.9651,4.894
867,3.2639,3.3146
868,4.9457,4.9079
869,8.9119,8.8619
870,14.0171,14.4786
871,14.0171,14.4786
872,7.3024,6.9862
873,6.8574,6.8138
874,6.8574,6.8138
875,4.2836,4.3013
876,6.6906,6.6574
877,6.6906,6.6574
878,6.6906,6.6574
879,7.208,6.9375
880,5.0076,4.6047
881,10.6733,12.0524
882,7.5204,7.5708
883,7.5204,7.5708
884,7.5204,7.5708
885,7.3121,7.2538
886,7.3121,7.2538
887,7.3121,7.2538
888,7.0548,7.0785
889,7.0548,7.0785
890,7.0548,7.0785
891,2.7065,2.9084
892,3.3177,3.2948
893,8.0144,8.0423
894,7.2299,7.2552
895,7.2299,7.2552
896,7.2299,7.2552
897,3.1484,3.1694
898,3.1484,3.1694
899,5.6369,5.6428
900,4.7109,4.6489
901,3.5519,3.5984
902,5.3562,5.2531
903,3.9387,3.9524
904,3.9387,3.9524
905,8.969,8.8945
906,5.1806,5.1077
907,5.1806,5.1077
908,8.9356,9.3153
909,6.6258,6.6172
910,6.6258,6.6172
911,6.6258,6.6172
912,3.7691,3.7974
913,3.7691,3.7974
914,15.321,13.1278
915,6.3647,6.5677
916,13.3739,13.3668
917,6.9188,6.9882
918,6.3425,6.334
919,6.3425,6.334
920,6.3425,6.334
921,7.1941,7.1932
922,7.1941,7.1932
923,7.1941,7.1932
924,6.6449,6.6165
925,6.6449,6.6165
926,6.6449,6.6165
927,7.5955,7.6264
928,7.5955,7.6264
929,7.5955,7.6264
930,10.7569,11.9288
931,3.7137,3.6442
932,5.6867,5.1258
933,5.9326,5.8091
934,5.9326,5.8091
935,9.1905,9.5024
936,6.6775,6.596
937,6.6775,6.596
938,6.6775,6.596
939,4.7214,4.6949
940,4.7214,4.6949
941,9.3646,9.4552
942,4.5159,4.5401
943,7.2405,7.1807
944,7.6168,7.6652
945,4.814,4.8317
946,4.1415,4.132
947,5.5182,5.5219
948,7.7234,7.7034
949,7.7234,7.7034
950,7.7234,7.7034
951,5.9475,5.9541
952,9.068,8.9789
953,3.0885,3.1523
954,8.8241,8.9309
955,8.8241,8.9309
956,8.8241,8.9309
957,10.1564,10.252
958,10.1564,10.252
959,10.1564,10.252
960,8.2544,8.2763
961,8.2544,8.2763
962,8.2544,8.2763
963,5.6363,5.6256
964,5.6363,5.6256
965,5.6363,5.6256
966,5.011,4.994
967,5.011,4.994
968,8.8915,9.1809
969,4.9642,4.874
970,5.559,5.3869
971,7.8213,7.8897
972,4.3692,4.4149
973,4.3692,4.4149
974,8.393,8.3672
975,6.2369,6.1064
976,6.2369,6.1064
977,6.2369,6.1064
978,2.9414,2.9615
979,3.7224,3.7241
980,6.0653,6.0621
981,3.4301,3.386
982,3.4301,3.386
983,42.3743,41.357
984,4.4424,4.4842
985,4.4424,4.4842
986,7.1389,7.0636
987,4.3027,4.3101
988,4.3873,4.2871
989,7.4251,8.5056
990,4.3058,4.3172
991,4.3058,4.3172
992,4.2476,4.189
993,6.263,6.2578
994,6.263,6.2578
995,6.263,6.2578
996,2.3911,2.3844
997,3.5784,3.6643
998,4.5892,4.514
999,3.3311,3.383
1000,3.3311,3.383
1001,7.299,7.0556
1002,6.6793,6.6775
1003,6.6793,6.6775
1004,6.6793,6.6775
1005,3.2797,3.3277
1006,3.9238,4.051
1007,7.4593,7.2909
1008,13.097,12.9448
1009,3.4967,3.5152
1010,8.2289,8.2843
1011,9.3051,9.4758
1012,3.2116,3.1957
1013,6.2516,6.2155
1014,3.5443,3.4645
1015,3.5443,3.4645
1016,15.4302,16.0904
1017,4.4042,4.3919
1018,4.4042,4.3919
1019,7.8598,7.9253
1020,9.4,9.4677
1021,2.7815,2.765
1022,6.1006,6.0467
1023,5.9652,5.9513
1024,5.9652,5.9513
1025,5.9652,5.9513
1026,6.2736,6.2598
1027,6.2736,6.2598
1028,6.2736,6.2598
1029,6.5761,6.595
1030,6.5761,6.595
1031,6.5761,6.595
1032,3.1755,3.1453
1033,3.1755,3.1453
1034,23.9445,23.8023
1035,10.9056,10.9735
1036,10.9056,10.9735
1037,10.9056,10.9735
1038,6.3572,6.3836
1039,6.3572,6.3836
1040,6.3572,6.3836
1041,5.6808,5.6803
1042,5.6808,5.6803
1043,5.6808,5.6803
1044,2.7404,2.7461
1045,2.7404,2.7461
1046,6.6889,6.6649
1047,3.0409,3.009
1048,3.0409,3.009
1049,16.8114,16.7617
1050,3.6352,3.6655
1051,3.6352,3.6655
1052,8.9125,8.967
1053,6.7678,6.7741
1054,6.7678,6.7741
1055,6.7678,6.7741
1056,5.903,5.9213
1057,5.903,5.9213
1058,5.903,5.9213
1059,8.4768,8.663
1060,8.4768,8.663
1061,8.4768,8.663
1062,3.2578,3.3996
1063,3.7787,3.7113
1064,11.5618,11.6694
1065,5.5029,5.482
1066,8.9027,9.095
1067,2.8321,2.852
1068,6.4512,6.5027
1069,6.4512,6.5027
1070,6.4512,6.5027
1071,3.5402,3.5056
1072,3.5402,3.5056
1073,30.8703,32.357
1074,10.4248,10.4214
1075,10.4248,10.4214
1076,5.4596,5.5927
1077,9.8008,9.8472
1078,9.8008,9.8472
1079,9.8008,9.8472
1080,3.9819,4.0025
1081,3.9819,4.0025
1082,25.5841,25.8436
1083,3.6225,3.6115
1084,3.6225,3.6115
1085,16.0731,16.0431
1086,7.4728,6.8413
1087,7.4728,6.8413
1088,7.4728,6.8413
1089,4.177,4.2974
1090,4.7694,4.1336
1091,6.027,6.4282
1092,3.6995,3.7023
1093,3.6995,3.7023
1094,7.7333,7.7872
1095,3.6713,3.7005
1096,4.192,3.8359
1097,9.9611,10.3927
1098,6.7318,6.7662
1099,6.7318,6.7662
1100,6.7318,6.7662
1101,3.1156,3.1598
1102,3.1156,3.1598
1103,9.0684,9.0758
1104,3.7137,3.5135
1105,3.7137,3.5135
1106,18.0908,17.9132
1107,3.4406,3.2903
1108,5.1858,5.0718
1109,9.9147,11.1877
1110,3.6567,3.7887
1111,4.5096,4.4946
1112,12.9561,12.4067
1113,6.9645,6.8981
1114,6.9645,6.8981
1115,6.9645,6.8981
1116,8.0659,7.7183
1117,8.6378,9.0173
1118,3.9921,3.9179
1119,3.4494,3.4936
1120,5.6248,5.5454
1121,5.7075,5.7019
1122,6.8633,6.8832
1123,6.8633,6.8832
1124,6.8633,6.8832
1125,4.7362,4.4999
1126,4.7362,4.4999
1127,7.8634,9.3886
1128,6.9058,6.915
1129,6.9058,6.915
1130,6.9058,6.915
1131,3.1017,3.0128
1132,7.8071,8.8899
1133,4.431,4.4993
1134,4.1561,4.0657
1135,5.372,5.4608
1136,10.0483,10.3347
1137,7.9725,7.999
1138,7.9725,7.999
1139,7.9725,7.999
1140,7.1335,7.1381
1141,7.1335,7.1381
1142,7.1335,7.1381
1143,5.4015,5.1664
1144,6.2719,6.2258
1145,3.7641,3.7759
1146,6.7768,6.7192
1147,8.4312,8.1617
1148,5.0635,5.3074
1149,2.6771,2.7117
1150,2.6771,2.7117
1151,25.9032,26.3456
1152,8.6483,8.7483
1153,8.6483,8.7483
1154,8.6483,8.7483
1155,4.1078,4.0986
1156,13.5318,13.5297
1157,11.1131,10.9576
1158,6.7599,6.6922
1159,6.7599,6.6922
1160,6.7599,6.6922
1161,6.4015,6.3771
1162,6.4015,6.3771
1163,6.4015,6.3771
1164,7.7205,7.5409
1165,7.7205,7.5409
1166,7.7205,7.5409
1167,3.0994,3.1139
