true_lengths,gen1_lengths
7.5939,9.3067
4.15,4.0773
13.4767,13.4153
7.7698,8.0292
6.9139,5.523
6.9139,5.523
2.4327,3.9119
2.8067,2.8017
2.8067,2.8017
27.7836,27.8005
3.2425,3.3155
3.2425,3.3155
8.2681,7.7922
7.2218,7.1666
7.2218,7.1666
7.2218,7.1666
3.5939,3.7841
5.3008,4.9989
10.2792,10.2673
3.3892,2.9638
5.5273,4.9325
5.5168,5.2295
3.8644,4.0306
3.8644,4.0306
6.2254,5.6107
6.0326,6.0197
6.0326,6.0197
6.0326,6.0197
10.152,6.2331
6.3273,13.0236
10.8619,9.0294
3.3585,3.2456
4.8979,4.2294
9.0637,11.3735
3.4284,3.401
3.4284,3.401
13.8246,14.1009
6.7984,6.8237
6.7984,6.8237
6.7984,6.8237
3.2768,3.264
4.7513,4.766
9.8228,9.8139
6.737,6.8302
6.737,6.8302
6.737,6.8302
7.3911,7.4335
7.3911,7.4335
7.3911,7.4335
8.4404,8.4384
8.4404,8.4384
8.4404,8.4384
3.0959,3.0613
3.2479,3.1322
7.9739,8.4766
7.2414,7.2192
7.2414,7.2192
7.2414,7.2192
2.7604,2.7511
2.7604,2.7511
27.2624,27.292
4.1546,4.1775
4.1546,4.1775
10.1487,9.9083
18.4182,26.3768
11.3398,15.4225
12.68,12.3351
6.9519,7.2324
7.0208,7.1188
12.1144,12.4618
7.2784,7.2622
7.2784,7.2622
7.2784,7.2622
3.4009,3.4355
3.4009,3.4355
15.2754,15.5897
4.4846,4.5532
4.4846,4.5532
11.3342,10.7213
8.1444,8.0809
8.1444,8.0809
8.1444,8.0809
12.1942,12.2289
12.1942,12.2289
12.1942,12.2289
4.2298,4.1796
4.2298,4.1796
11.6322,12.3823
3.1739,2.9493
4.7652,5.0096
9.7906,9.424
4.2652,4.2304
4.2652,4.2304
8.5714,8.8282
3.3567,3.2755
3.3567,3.2755
8.5,8.6625
8.7875,8.7713
2.721,2.6748
4.5459,4.6778
5.4293,5.0527
5.4293,5.0527
8.5966,10.1521
6.9967,6.9636
6.9967,6.9636
6.9967,6.9636
2.5636,3.0905
4.5022,4.1128
5.1805,4.6639
7.1311,7.084
7.1311,7.084
7.1311,7.084
7.3123,7.2541
7.3123,7.2541
7.3123,7.2541
7.4159,7.2255
7.4159,7.2255
7.4159,7.2255
9.3235,9.2923
9.3235,9.2923
9.3235,9.2923
2.7977,2.6859
5.3522,5.003
9.5378,9.9899
3.3544,3.6021
3.7922,3.6545
3.8208,3.6548
3.2506,3.1751
4.1233,4.2433
4.4735,4.5437
3.2217,3.2365
3.2217,3.2365
6.8556,6.7039
6.2101,6.2164
10.0683,10.05
3.1015,3.0827
3.3031,3.1446
3.3031,3.1446
11.3567,12.1628
7.6887,7.6779
7.6887,7.6779
7.6887,7.6779
3.1095,2.7905
3.1095,2.7905
6.0456,7.335
6.3656,6.3225
6.3656,6.3225
6.3656,6.3225
7.9157,5.4335
5.5263,5.6798
5.7505,9.5397
6.639,6.6017
6.639,6.6017
6.639,6.6017
6.3082,6.2627
6.3082,6.2627
6.3082,6.2627
11.4006,11.4791
3.4887,3.4935
4.9839,4.7892
2.7496,2.826
4.4738,4.3914
8.9288,8.7718
3.9712,3.9508
3.9712,3.9508
3.9712,3.9508
7.3495,15.3344
7.1475,17.0904
23.3655,3.9422
7.8562,12.8283
7.7416,5.8386
7.6936,7.5172
3.1282,3.2069
4.4518,3.5595
4.5147,5.6453
8.3895,7.901
3.3026,2.9659
6.5814,7.0003
2.8454,3.4118
4.7474,3.5213
5.1174,5.872
4.0612,4.0638
4.0612,4.0638
9.8922,9.8541
3.8499,2.7725
3.8499,2.7725
3.6316,6.9909
7.0115,7.0171
7.0115,7.0171
7.0115,7.0171
7.2748,7.2794
7.2748,7.2794
7.2748,7.2794
3.4895,3.6008
5.3856,5.2778
10.2366,10.0302
4.3398,4.3033
4.3398,4.3033
9.1611,9.3379
6.9718,6.9533
6.9718,6.9533
6.9718,6.9533
4.602,4.1568
4.602,4.1568
2.8802,3.9181
6.1693,6.1155
6.1693,6.1155
10.2422,10.0922
6.5869,6.6045
6.5869,6.6045
6.5869,6.6045
6.8451,6.838
6.8451,6.838
6.8451,6.838
8.016,10.1069
9.1598,7.7424
13.8467,13.9003
5.8597,6.1163
5.8597,6.1163
5.8597,6.1163
7.0087,7.0227
7.0087,7.0227
7.0087,7.0227
3.929,2.7661
3.929,2.7661
2.7269,5.8829
5.0276,4.1729
5.0276,4.1729
5.0276,4.1729
9.636,10.0203
3.058,2.9914
4.6912,4.7552
7.6128,8.8382
7.6128,8.8382
9.8502,8.4332
3.67,3.8969
3.8435,4.0914
7.3917,6.3841
6.2708,6.4505
8.1437,8.044
3.3135,3.2207
7.178,7.1711
7.178,7.1711
7.178,7.1711
6.1439,6.3648
6.1439,6.3648
6.1439,6.3648
6.5345,6.6073
6.5345,6.6073
6.5345,6.6073
3.5403,3.5884
3.5403,3.5884
6.1183,6.0458
7.621,7.6166
7.621,7.6166
7.621,7.6166
6.6784,6.6844
6.6784,6.6844
6.6784,6.6844
2.9159,2.9576
5.0349,4.8904
12.5289,12.86
6.813,6.8691
6.813,6.8691
6.813,6.8691
7.6513,7.6484
7.6513,7.6484
7.6513,7.6484
4.2883,4.2016
4.54,4.798
9.8073,9.8726
3.6229,3.5451
3.6229,3.5451
36.7744,33.0044
6.0367,5.9786
6.0367,5.9786
6.0367,5.9786
3.6109,3.6078
3.6109,3.6078
10.582,10.7339
3.3911,3.4387
3.3911,3.4387
34.0638,32.9091
2.8254,2.8438
4.6106,4.6138
9.0446,9.1047
4.0383,3.859
2.8859,2.945
10.6988,11.0443
6.5467,6.5308
6.5467,6.5308
6.5467,6.5308
5.3758,5.3838
5.3758,5.3838
7.494,7.72
2.9851,2.892
2.9851,2.892
7.7211,8.2755
3.9348,3.8413
3.9348,3.8413
17.5915,18.5981
10.9595,10.9546
3.2036,3.2379
6.8668,6.6563
7.5435,7.621
7.5435,7.621
7.5435,7.621
4.873,4.7939
3.2934,3.3042
12.8703,13.0087
3.7142,2.6704
11.2958,13.2181
3.7801,4.3807
4.7494,6.4115
5.0089,8.517
9.1529,3.4841
8.1906,8.1964
8.1906,8.1964
8.1906,8.1964
7.5153,8.4695
3.6039,3.7088
10.611,8.6928
3.39,3.3265
3.39,3.3265
6.2328,6.5181
10.1396,10.0387
3.25,3.2299
5.4083,5.4099
3.1356,3.1757
4.4599,4.5196
12.8503,12.9836
4.6454,3.4255
4.6454,3.4255
3.2885,6.5598
4.1468,4.3296
4.1468,4.3296
4.4392,3.9802
7.8645,7.8831
7.8645,7.8831
7.8645,7.8831
4.4392,4.4372
4.4392,4.4372
4.5067,4.5715
6.2739,6.2368
6.2739,6.2368
6.2739,6.2368
2.8919,2.9825
2.8919,2.9825
7.9896,8.0257
3.1687,3.2357
3.1687,3.2357
5.9014,5.6703
7.089,7.2547
7.089,7.2547
7.089,7.2547
9.4612,9.4041
3.0762,3.066
5.103,5.1709
6.4776,6.4532
6.4776,6.4532
6.4776,6.4532
6.6111,6.6504
6.6111,6.6504
6.6111,6.6504
9.5058,5.3198
2.957,8.9561
4.3661,2.8273
7.4093,7.4958
7.4093,7.4958
4.339,4.2876
3.95,3.6649
4.6774,4.7789
10.5541,11.7111
4.8101,4.8564
4.8101,4.8564
3.8888,3.9155
5.3184,5.8742
5.7377,6.2951
11.4029,11.859
3.4318,3.6744
4.4355,4.2261
5.6793,5.5026
7.4673,7.4471
7.4673,7.4471
7.4673,7.4471
3.8817,3.8523
3.8817,3.8523
7.7635,7.8158
3.0129,3.0577
4.1814,3.9748
5.6639,5.9308
3.0228,3.3821
4.0951,3.6465
5.9437,5.7901
6.6717,6.6426
6.6717,6.6426
6.6717,6.6426
4.25,4.1774
4.25,4.1774
2.9987,3.1049
4.8757,4.9041
4.8757,4.9041
3.5921,3.4219
2.8369,2.7525
2.8369,2.7525
22.2554,23.0025
10.0847,11.6766
4.0571,4.4299
8.0151,6.4848
6.9599,7.0806
6.9599,7.0806
6.9599,7.0806
6.0794,6.0569
6.0794,6.0569
6.0794,6.0569
5.7806,5.7553
5.7806,5.7553
5.7806,5.7553
2.6516,2.6041
5.071,4.9212
10.8091,11.4971
9.8418,10.1147
3.1788,3.1936
6.974,6.5642
3.1151,3.117
4.4456,4.53
6.367,6.2208
3.2866,3.2019
4.8522,4.8029
5.5592,5.8809
8.6135,8.836
8.6135,8.836
8.6135,8.836
6.8471,6.8596
6.8471,6.8596
6.8471,6.8596
4.6465,4.7235
4.6465,4.7235
5.588,5.2406
3.312,3.3348
3.312,3.3348
27.58,26.2677
5.5421,5.5602
7.5356,7.3917
5.2444,5.2744
6.7964,6.7658
6.7964,6.7658
6.7964,6.7658
5.9949,5.8791
5.9949,5.8791
5.9949,5.8791
4.2296,4.2408
4.2296,4.2408
17.0529,17.0197
7.4787,7.2917
7.4787,7.2917
7.4787,7.2917
9.3608,9.5271
2.708,2.6922
5.4205,5.4181
3.9125,3.8836
3.9125,3.8836
5.4999,5.3555
4.2576,3.9626
4.2576,3.9626
18.9258,21.3105
4.0393,4.0897
4.0393,4.0897
9.982,9.748
3.9534,4.1254
3.9534,4.1254
4.7265,4.207
5.9649,6.0756
5.9649,6.0756
5.9649,6.0756
3.5977,3.4933
3.5977,3.4933
15.791,16.0158
7.02,7.0361
7.02,7.0361
7.02,7.0361
5.9801,5.8992
5.9801,5.8992
5.9801,5.8992
10.3244,10.4267
4.1685,4.1456
9.8162,10.0724
7.5376,7.5029
7.5376,7.5029
7.5376,7.5029
4.2272,4.1933
4.2272,4.1933
10.5978,10.8601
2.8973,3.0446
13.6649,11.7218
4.4958,5.2143
4.4259,4.3625
4.4259,4.3625
5.3675,5.0296
6.7023,6.7318
6.7023,6.7318
6.7023,6.7318
3.9603,2.9999
4.0621,3.9542
4.1979,5.6885
2.7457,2.7432
2.7457,2.7432
26.2831,26.3983
6.5476,6.5682
6.5476,6.5682
6.5476,6.5682
7.6882,6.4351
10.4772,11.4451
10.4471,11.4992
3.3175,3.5988
3.3175,3.5988
5.2452,4.484
3.3677,3.2117
3.6572,3.8825
7.4379,7.3513
8.4455,8.7671
3.0438,3.0109
4.4713,4.3702
7.922,7.7133
7.922,7.7133
7.922,7.7133
6.8329,6.6599
4.0209,4.0069
9.6729,9.6988
13.2315,13.5652
13.8143,16.0128
3.945,3.3745
10.6402,10.7579
3.945,3.9862
6.9827,6.8939
6.2786,6.5995
6.4923,13.0445
13.8344,7.2081
10.5706,9.8547
3.7853,3.3668
3.4071,5.7215
6.3119,6.244
7.631,7.4778
4.995,4.8763
7.1094,7.2216
7.1094,7.2216
7.1094,7.2216
7.3009,7.6535
7.3009,7.6535
7.3009,7.6535
3.6517,3.5147
3.6517,3.5147
21.6083,23.0286
4.748,3.8687
4.748,3.8687
10.7007,18.4764
6.8418,6.7877
6.8418,6.7877
6.8418,6.7877
6.1947,6.1597
6.1947,6.1597
6.1947,6.1597
6.207,6.2176
6.207,6.2176
6.207,6.2176
6.975,6.9706
6.975,6.9706
6.975,6.9706
3.8053,3.9224
5.7049,5.3454
5.7359,5.5998
6.3518,6.3826
6.3518,6.3826
6.3518,6.3826
2.5511,2.5774
4.2169,4.2454
4.9651,4.8543
3.2639,3.2012
4.9457,4.8482
8.9119,9.268
14.0171,13.2644
14.0171,13.2644
7.3024,7.6465
6.8574,6.8181
6.8574,6.8181
4.2836,4.2255
6.6906,6.6988
6.6906,6.6988
6.6906,6.6988
7.208,6.9184
5.0076,5.2234
10.6733,9.849
4.5593,4.5828
6.4538,5.3968
12.2883,10.6124
7.5204,7.6095
7.5204,7.6095
7.5204,7.6095
7.3121,7.1167
7.3121,7.1167
7.3121,7.1167
7.0548,7.0447
7.0548,7.0447
7.0548,7.0447
2.7065,2.8827
3.3177,3.4281
8.0144,7.7078
7.2299,7.2742
7.2299,7.2742
7.2299,7.2742
3.1484,3.0162
3.1484,3.0162
5.6369,6.7236
4.7109,4.3309
3.5519,3.5534
5.3562,5.4591
3.9387,3.9873
3.9387,3.9873
8.969,8.7738
5.1806,5.3482
5.1806,5.3482
8.9356,9.1221
6.6258,6.6278
6.6258,6.6278
6.6258,6.6278
3.7691,3.7807
3.7691,3.7807
15.321,14.5569
6.3647,6.7834
13.3739,13.6132
6.9188,6.7664
6.3425,6.2969
6.3425,6.2969
6.3425,6.2969
7.1941,7.1804
7.1941,7.1804
7.1941,7.1804
6.6449,6.6244
6.6449,6.6244
6.6449,6.6244
7.5955,7.6434
7.5955,7.6434
7.5955,7.6434
10.7569,12.7869
3.7137,3.1974
5.6867,5.307
5.1666,5.1987
5.1666,5.1987
8.4601,8.0758
5.9326,5.7824
5.9326,5.7824
9.1905,9.6543
6.6775,6.6245
6.6775,6.6245
6.6775,6.6245
4.7214,4.8247
4.7214,4.8247
9.3646,8.8121
4.5159,4.5127
7.2405,7.2626
7.6168,7.5471
4.814,4.8132
4.1415,4.9524
5.5182,4.4044
7.7234,7.6602
7.7234,7.6602
7.7234,7.6602
5.9475,3.6557
9.068,4.7865
3.0885,8.9939
8.8241,8.8624
8.8241,8.8624
8.8241,8.8624
11.9078,10.9488
3.9417,5.1388
7.737,6.1204
10.1564,10.5534
10.1564,10.5534
10.1564,10.5534
8.2544,8.2753
8.2544,8.2753
8.2544,8.2753
5.6363,5.6039
5.6363,5.6039
5.6363,5.6039
5.011,4.9508
5.011,4.9508
8.8915,8.5831
4.9642,7.3438
5.559,8.0494
7.8213,3.5585
4.3692,4.798
4.3692,4.798
8.393,6.9685
6.2369,6.1072
6.2369,6.1072
6.2369,6.1072
2.9414,2.9115
3.7224,3.6904
6.0653,6.0061
3.4301,3.3497
3.4301,3.3497
42.3743,44.3903
4.4424,4.4643
4.4424,4.4643
7.1389,7.1183
4.3027,4.0843
4.3873,4.0056
7.4251,8.1227
4.3058,4.2961
4.3058,4.2961
4.2476,4.2684
6.263,6.1953
6.263,6.1953
6.263,6.1953
2.3911,2.3826
3.5784,3.4637
4.5892,4.7539
3.3311,3.3011
3.3311,3.3011
7.299,7.5709
6.6793,6.6754
6.6793,6.6754
6.6793,6.6754
3.2797,3.3914
3.9238,3.8684
7.4593,7.255
13.097,13.084
3.4967,3.4849
8.2289,8.5259
9.3051,9.3972
3.2116,3.2157
6.2516,6.2023
3.5443,4.0374
3.5443,4.0374
15.4302,11.1854
4.4042,4.425
4.4042,4.425
7.8598,7.7831
9.4,9.4446
2.7815,2.7373
6.1006,6.1085
3.169,3.0567
3.8703,3.3941
6.2511,6.5288
5.9652,5.9804
5.9652,5.9804
5.9652,5.9804
6.2736,6.2677
6.2736,6.2677
6.2736,6.2677
5.8207,5.7765
5.9129,5.8244
10.2512,9.9425
6.5761,6.6175
6.5761,6.6175
6.5761,6.6175
3.0318,3.0911
4.3061,4.3063
11.0189,11.1587
3.1755,3.1948
3.1755,3.1948
23.9445,25.7894
10.9056,10.8767
10.9056,10.8767
10.9056,10.8767
6.3572,6.3353
6.3572,6.3353
6.3572,6.3353
5.6808,5.7117
5.6808,5.7117
5.6808,5.7117
2.7404,4.3494
2.7404,4.3494
6.6889,2.7034
3.0409,3.059
3.0409,3.059
16.8114,14.0461
7.7616,7.6242
7.7616,7.6242
6.3086,6.2322
3.6352,3.6334
3.6352,3.6334
8.9125,8.903
6.7678,6.7494
6.7678,6.7494
6.7678,6.7494
5.903,5.849
5.903,5.849
5.903,5.849
8.4768,8.3325
8.4768,8.3325
8.4768,8.3325
3.2578,3.3413
3.7787,3.7769
11.5618,11.5515
5.5029,10.1492
8.9027,3.0337
2.8321,4.8636
6.4512,6.4118
6.4512,6.4118
6.4512,6.4118
3.5402,3.5773
3.5402,3.5773
30.8703,31.947
10.4248,11.8538
10.4248,11.8538
5.4596,4.7092
9.8008,10.0705
9.8008,10.0705
9.8008,10.0705
13.169,21.0841
25.6458,6.2244
9.5133,21.9365
3.9819,3.8611
3.9819,3.8611
25.5841,25.847
3.6225,3.6411
3.6225,3.6411
16.0731,16.1168
7.4728,7.4607
7.4728,7.4607
7.4728,7.4607
4.177,3.314
4.7694,5.0317
6.027,5.9461
3.6995,3.7782
3.6995,3.7782
7.7333,7.3087
3.6713,3.0208
4.192,3.0375
9.9611,16.0669
6.7318,6.7619
6.7318,6.7619
6.7318,6.7619
3.1156,3.0529
3.1156,3.0529
9.0684,9.5894
3.7137,4.5162
3.7137,4.5162
18.0908,10.3232
3.4406,3.3285
5.1858,5.0283
9.9147,10.5775
3.6567,3.8344
4.5096,4.3667
12.9561,12.4239
6.9645,6.9524
6.9645,6.9524
6.9645,6.9524
3.1399,3.0307
4.195,3.6975
7.085,7.3348
8.0659,7.7879
8.6378,9.0104
3.9921,3.9041
4.3753,4.4881
4.7321,4.5884
4.8334,4.8526
3.4494,3.4811
5.6248,5.428
5.7075,5.6273
6.8633,6.853
6.8633,6.853
6.8633,6.853
4.7362,4.5648
4.7362,4.5648
7.8634,8.6556
6.9058,6.8739
6.9058,6.8739
6.9058,6.8739
3.1017,3.1927
7.8071,7.6966
4.431,4.3798
4.1561,4.0195
5.372,5.4905
10.0483,10.3435
7.9725,7.9854
7.9725,7.9854
7.9725,7.9854
7.1335,6.9759
7.1335,6.9759
7.1335,6.9759
5.4015,3.6084
6.2719,5.5514
3.7641,6.3904
6.7768,6.8585
8.4312,8.4704
5.0635,5.1327
2.6771,2.7185
2.6771,2.7185
25.9032,26.5903
8.6483,8.5557
8.6483,8.5557
8.6483,8.5557
4.1078,4.1832
13.5318,13.9021
11.1131,11.1118
6.7599,6.7675
6.7599,6.7675
6.7599,6.7675
6.4015,6.3864
6.4015,6.3864
6.4015,6.3864
7.7205,7.7871
7.7205,7.7871
7.7205,7.7871
3.0994,3.2615
4.6858,4.6415
5.1017,4.8789
4.3038,4.2688
10.0236,10.2293
6.7539,7.1385
5.1278,5.3472
5.1278,5.3472
4.4818,4.376
3.6597,3.7526
3.7494,3.8151
7.4073,7.1925
4.9646,4.5784
4.5082,6.4906
6.5136,4.6574
3.9723,3.8654
3.9723,3.8654
6.8729,7.17
8.604,9.0867
6.6317,6.9085
4.7328,4.9186
6.8859,8.6541
6.8859,8.6541
14.3601,10.4415
2.6576,2.6919
4.2991,4.2227
5.0996,5.1712
5.7611,5.7325
5.7611,5.7325
5.7611,5.7325
3.667,3.4543
3.8562,3.9547
9.0324,8.9739
10.2362,9.5852
3.0061,2.8708
5.5815,6.0984
2.877,2.8369
2.877,2.8369
5.8348,6.0323
3.4379,3.3666
3.4379,3.3666
27.9806,31.5765
5.115,3.5032
9.1069,4.3182
2.8026,8.2777
6.1213,4.9492
9.4109,5.4506
3.0723,7.0173
3.9822,3.9714
4.0806,4.1817
12.0158,10.8971
10.8705,11.1334
3.6507,3.8001
4.755,4.2962
7.3578,7.4021
11.3001,11.8101
6.5573,6.6037
4.0183,3.9556
4.0183,3.9556
10.0123,9.7834
8.6688,8.6784
8.6688,8.6784
8.6688,8.6784
3.2621,3.3567
4.7906,4.6833
12.1535,12.7839
5.5999,5.5263
8.1876,8.1685
2.7343,2.8773
3.6687,3.9187
7.9322,7.9867
7.7518,6.7624
4.0497,4.084
3.4097,3.3881
9.5659,9.5066
7.5123,7.4921
7.5123,7.4921
4.6052,4.6906
5.9187,6.0849
5.9187,6.0849
14.9991,14.1989
5.8885,5.9221
5.8885,5.9221
5.8885,5.9221
7.1852,7.0702
7.1852,7.0702
7.1852,7.0702
8.5583,8.5978
8.5583,8.5978
8.5583,8.5978
4.4553,4.4967
4.4553,4.4967
7.1735,7.2396
8.3586,8.4302
8.3586,8.4302
8.3586,8.4302
6.2916,5.7338
3.7573,3.4357
6.6387,9.04
6.2516,6.2888
6.2516,6.2888
6.2516,6.2888
12.8203,10.6801
3.7576,3.6344
4.0789,4.7105
4.1138,4.1128
4.1138,4.1128
10.1904,10.2713
5.983,5.7049
5.983,5.7049
13.3134,14.5797
6.6532,7.0307
8.468,8.1952
3.0806,3.0866
7.9756,7.997
7.9756,7.997
3.0548,3.0098
2.8082,3.0609
4.7696,4.5628
12.2409,10.414
4.3337,4.401
4.3337,4.401
10.203,9.9915
4.6004,4.6492
4.6004,4.6492
6.9975,7.1128
5.9129,6.0148
5.9129,6.0148
5.9129,6.0148
3.26,3.2937
4.3579,4.3121
5.6913,5.7537
4.4011,4.3159
